Test Description,Size,Method,Iteration,Time (ms),GC Time (ms),Allocated (MB),Copied (MB),Max Live Gen 1 (MB),Peak (MB)
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.force,2,6921.0,5274.0,8183.712844848633,7287.713638305664,1328.219612121582,3294
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.force,3,6890.0,5248.0,8183.712844848633,7287.727600097656,1328.219612121582,3294
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.force,4,6894.0,5251.0,8183.712844848633,7287.710075378418,1328.219612121582,3294
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.force,5,6891.0,5249.0,8183.712844848633,7287.7121505737305,1328.219612121582,3294
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.force,6,6911.0,5261.0,8183.712844848633,7287.708702087402,1328.219612121582,3294
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.force,7,6904.0,5252.0,8183.712844848633,7287.713050842285,1328.219612121582,3294
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.force,8,6944.0,5288.0,8183.712844848633,7287.714042663574,1328.219612121582,3294
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.force,9,6947.0,5291.0,8183.712844848633,7287.7138748168945,1328.219612121582,3294
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.force,10,6896.0,5249.0,8183.712844848633,7287.715705871582,1328.219612121582,3294
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.copyCR,1,7067.0,5332.0,8375.90054321289,7314.441459655762,1331.0280532836914,3321
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.copyCR,2,7057.0,5312.0,8375.90054321289,7314.445274353027,1331.0280532836914,3321
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.copyCR,3,7011.0,5268.0,8375.90054321289,7287.259712219238,1328.250862121582,3294
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.copyCR,4,9077.0,6800.0,8375.90054321289,7314.452606201172,1331.0279159545898,3321
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.copyCR,5,9817.0,7503.0,8375.93179321289,7314.441963195801,1331.0280532836914,3321
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.copyCR,6,8459.0,6609.0,8375.90054321289,7314.416351318359,1331.0280532836914,3321
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.copyCR,7,6956.0,5222.0,8375.90054321289,7287.236068725586,1328.250862121582,3294
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.copyCR,8,6977.0,5254.0,8375.90054321289,7314.442573547363,1331.0280532836914,3321
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.copyCR,9,6995.0,5262.0,8375.90054321289,7314.420303344727,1331.0280532836914,3321
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.copyCR,10,6973.0,5238.0,8375.90054321289,7287.272804260254,1328.250862121582,3294
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelDps,1,15809.0,12663.0,16642.124992370605,24016.633140563965,4097.564903259277,8621
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelDps,2,15814.0,12675.0,16642.124992370605,24016.633140563965,4097.564903259277,8621
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelDps,3,15815.0,12659.0,16642.124992370605,24016.633140563965,4097.564903259277,8621
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelDps,4,16007.000000000002,12826.0,16642.124992370605,24016.633140563965,4097.564903259277,8621
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelDps,5,16158.000000000002,12944.0,16642.124992370605,24016.633140563965,4097.564903259277,8621
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelDps,6,15951.0,12760.0,16642.124992370605,24016.633140563965,4097.564903259277,8621
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelDps,7,22586.0,18278.0,16642.124992370605,24016.633140563965,4097.564903259277,8621
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelDps,8,17723.0,14298.0,16642.124992370605,24016.633140563965,4097.564903259277,8621
DPS interface for compact regions/Breadth-first tree traversal,2^25,relabelDps,9,15741.0,12625.0,16642.124992370605,24016.633140563965,4097.564903259277,8621
