Test Description,Size,Method,Time (ms),GC Time (ms),Allocated (MB),Copied (MB),Max Live Gen 1 (MB),Peak (MB)
DPS interface for compact regions/map on List,2^19,mapDpsFoldL,192.6,148.1,133.04,128.51,35.725,78
DPS interface for compact regions/map on List,2^19,mapDpsFoldLS,141.3,109.4,117.04,123.51,30.51,78
DPS interface for compact regions/map on List,2^19,mapDpsFoldS,53.1,33.7,72.136,48.647,20.068,52
DPS interface for compact regions/map on List,2^19,mapDpsFoldSL,56.1,35.7,88.135,51.354,20.06,52
DPS interface for compact regions/map on List,2^19,mapDpsTRL,82,52.2,80.132,51.682,20.05,52
DPS interface for compact regions/map on List,2^19,mapDpsTRS,77.6,49.6,64.133,48.651,20.068,52
DPS interface for compact regions/map on List,2^19,mapL.copyCR,57.5,37.9,108.13,52.771,20.057,53
DPS interface for compact regions/map on List,2^19,mapL.force,67.6,57.1,88.099,88.613,20.032,68
DPS interface for compact regions/map on List,2^19,mapS.copyCR,84.4,63.1,88.568,89.77,20.233,61
DPS interface for compact regions/map on List,2^19,mapS.force,79.3,63.6,68.537,89.74,20.202,61
DPS interface for compact regions/map on List,2^19,mapSH.copyCR,55.1,38.1,92.131,53.604,20.062,52
DPS interface for compact regions/map on List,2^19,mapSH.force,64.3,54.9,72.1,87.881,20.032,66
DPS interface for compact regions/map on List,2^19,mapST.copyCR,106.5,83,104.57,132.86,28.173,79
DPS interface for compact regions/map on List,2^19,mapST.force,92.6,76,84.538,120.28,27.131,64
DPS interface for compact regions/map on List,2^19,mapTRL.copyCR,161.3,128.9,104.13,158,33.399,82
DPS interface for compact regions/map on List,2^19,mapTRL.force,107.5,91.3,84.101,159.47,33.368,82
DPS interface for compact regions/map on List,2^19,mapTRS.copyCR,133.9,107.3,88.133,117.35,20.063,71
DPS interface for compact regions/map on List,2^19,mapTRS.force,127,109.9,68.101,117.35,20.032,71
DPS interface for compact regions/map on List,2^19,mapTRSH.copyCR,132.4,106.2,88.133,117.35,20.063,71
DPS interface for compact regions/map on List,2^19,mapTRSH.force,129.8,112.4,68.102,117.35,20.032,71
DPS interface for compact regions/map on List,2^19,mapTRST.copyCR,165.9,132,104.13,158,33.398,82
DPS interface for compact regions/map on List,2^19,mapTRST.force,154.5,132.5,84.102,159.46,33.367,82
DPS interface for compact regions/map on List,2^22,mapDpsFoldL,1238.5,996.1,1063.7,1196.7,278,590
DPS interface for compact regions/map on List,2^22,mapDpsFoldLS,1069.4,870.2,935.73,1193.7,278,588
DPS interface for compact regions/map on List,2^22,mapDpsFoldS,465.9,339.5,576.26,513.22,160.11,373
DPS interface for compact regions/map on List,2^22,mapDpsFoldSL,483.9,344.1,704.26,514.08,160.12,373
DPS interface for compact regions/map on List,2^22,mapDpsTRL,692.3,492.8,640.26,515.34,160.12,373
DPS interface for compact regions/map on List,2^22,mapDpsTRS,681.3,495,512.26,513.23,160.11,373
DPS interface for compact regions/map on List,2^22,mapL.copyCR,468.2,341.2,864.26,515.27,160.1,373
DPS interface for compact regions/map on List,2^22,mapL.force,523.9,459.4,704.1,750.62,160.03,464
DPS interface for compact regions/map on List,2^22,mapS.copyCR,806.2,669,707.91,957.51,163.13,500
DPS interface for compact regions/map on List,2^22,mapS.force,757.4,662.4,547.76,957.48,163.1,500
DPS interface for compact regions/map on List,2^22,mapSH.copyCR,455.8,345.5,736.26,514.29,160.11,373
DPS interface for compact regions/map on List,2^22,mapSH.force,506.1,450.6,576.1,749.35,160.03,465
DPS interface for compact regions/map on List,2^22,mapST.copyCR,1279.4,1065.8,835.91,1292.7,245.71,576
DPS interface for compact regions/map on List,2^22,mapST.force,870.2,763.4,675.76,1222.8,245.68,554
DPS interface for compact regions/map on List,2^22,mapTRL.copyCR,1164.4,990.9,832.26,1609.2,288.06,723
DPS interface for compact regions/map on List,2^22,mapTRL.force,1413.1,1273.2,672.1,1610.7,288.03,723
DPS interface for compact regions/map on List,2^22,mapTRS.copyCR,846.2,715.7,704.26,1236.5,160.06,519
DPS interface for compact regions/map on List,2^22,mapTRS.force,797.5,718.1,544.1,1236.5,160.03,519
DPS interface for compact regions/map on List,2^22,mapTRSH.copyCR,852.2,720.8,704.26,1236.5,160.06,519
DPS interface for compact regions/map on List,2^22,mapTRSH.force,802.8,722.1,544.1,1236.5,160.03,519
DPS interface for compact regions/map on List,2^22,mapTRST.copyCR,1268.3,1075.7,832.26,1609.2,288.06,723
DPS interface for compact regions/map on List,2^22,mapTRST.force,1002.8,896.2,672.1,1610.7,288.03,724
DPS interface for compact regions/map on List,2^25,mapDpsFoldL,9869.7,7933.2,8509.2,10004,2310.8,4747
DPS interface for compact regions/map on List,2^25,mapDpsFoldLS,9742.2,7983.5,7485.2,9998.8,2310.8,4747
DPS interface for compact regions/map on List,2^25,mapDpsFoldS,3839.5,2853.9,4609.2,4461.3,1280.7,2913
DPS interface for compact regions/map on List,2^25,mapDpsFoldSL,4910.6,3540,5633.2,4459.7,1280.7,2912
DPS interface for compact regions/map on List,2^25,mapDpsTRL,4290.8,3121.6,5121.2,4461.3,1280.7,2913
DPS interface for compact regions/map on List,2^25,mapDpsTRS,4480.2,3366.5,4097.2,4456.4,1280.7,2912
DPS interface for compact regions/map on List,2^25,mapL.copyCR,4232.7,3150.6,6913.2,4461.8,1280.7,2913
DPS interface for compact regions/map on List,2^25,mapL.force,4884.3,4349.4,5632.1,6542.8,1280,3867
DPS interface for compact regions/map on List,2^25,mapS.copyCR,7303.7,6153.4,5662.6,8236.5,1309.1,4075
DPS interface for compact regions/map on List,2^25,mapS.force,7263.2,6456.2,4381.5,8236.5,1309,4075
DPS interface for compact regions/map on List,2^25,mapSH.copyCR,4264.4,3272.7,5889.2,4461.3,1280.7,2913
DPS interface for compact regions/map on List,2^25,mapSH.force,4555.2,4120.5,4608.1,6543,1280,3868
DPS interface for compact regions/map on List,2^25,mapST.copyCR,8336.8,6992.3,6686.6,10737,2040.6,4570
DPS interface for compact regions/map on List,2^25,mapST.force,7892.9,7020.8,5405.5,10415,2040.6,4570
DPS interface for compact regions/map on List,2^25,mapTRL.copyCR,9865.6,8443.8,6657.2,13633,2304.1,5907
DPS interface for compact regions/map on List,2^25,mapTRL.force,9265.3,8364.4,5376.1,13635,2304,5907
DPS interface for compact regions/map on List,2^25,mapTRS.copyCR,8107.5,6949.4,5633.2,10615,1280.1,4127
DPS interface for compact regions/map on List,2^25,mapTRS.force,7235.9,6578.7,4352.1,10615,1280,4127
DPS interface for compact regions/map on List,2^25,mapTRSH.copyCR,7945.9,6828.3,5633.2,10615,1280.1,4021
DPS interface for compact regions/map on List,2^25,mapTRSH.force,7453.7,6785.4,4352.1,10615,1280,4021
DPS interface for compact regions/map on List,2^25,mapTRST.copyCR,9733.7,8330.8,6657.2,13633,2304.1,5907
DPS interface for compact regions/map on List,2^25,mapTRST.force,9261.2,8353.8,5376.1,13635,2304,5907
